Episode,Reward,Length,TotalSteps
0,-1.51045,200,201
1,2.410985,200,401
2,13.982252,200,601
3,5.178528,200,801
4,-0.58797,200,1001
5,7.489892,200,1201
6,7.428471,200,1401
7,8.706136,200,1601
8,-12.227272,200,1801
9,-5.385454,200,2001
10,-6.759631,200,2201
11,16.441165,200,2401
12,7.325556,200,2601
13,-2.977264,200,2801
14,2.83526,200,3001
15,8.192702,200,3201
16,1.187081,200,3401
17,-6.71724,200,3601
18,11.226017,200,3801
19,11.84558,200,4001
20,-2.272602,200,4201
21,18.449183,200,4401
22,7.029734,200,4601
23,9.347679,200,4801
24,15.640575,200,5001
25,35.815151,200,5201
26,17.404009,200,5401
27,21.432854,200,5601
28,22.444427,200,5801
29,14.363995,200,6001
30,21.821857,200,6201
31,25.46022,200,6401
32,30.628904,200,6601
33,21.165414,200,6801
34,19.164109,200,7001
35,10.651461,200,7201
36,22.421394,200,7401
37,20.582716,200,7601
38,24.309997,200,7801
39,11.980945,200,8001
40,37.325971,200,8201
41,29.839765,200,8401
42,31.678246,200,8601
43,29.528328,200,8801
44,28.570358,200,9001
45,32.125834,200,9201
46,24.645152,200,9401
47,28.761714,200,9601
48,31.664936,200,9801
49,29.703404,200,10001
50,40.654794,200,10201
51,37.488755,200,10401
52,33.651319,200,10601
53,33.083288,200,10801
54,28.704598,200,11001
55,33.160971,200,11201
56,37.61845,200,11401
57,36.029303,200,11601
58,31.543854,200,11801
59,33.297827,200,12001
60,38.663393,200,12201
61,37.420512,200,12401
62,38.832737,200,12601
63,37.581046,200,12801
64,38.047761,200,13001
65,33.229411,200,13201
66,36.377554,200,13401
67,28.921769,200,13601
68,35.39535,200,13801
69,33.085634,200,14001
70,29.951084,200,14201
71,38.151788,200,14401
72,40.571054,200,14601
73,41.649395,200,14801
74,32.625493,200,15001
75,24.642102,200,15201
76,38.989054,200,15401
77,34.150959,200,15601
78,36.699323,200,15801
79,36.521186,200,16001
80,37.911861,200,16201
81,34.85931,200,16401
82,39.29973,200,16601
83,39.832854,200,16801
84,33.45825,200,17001
85,39.714624,200,17201
86,31.29557,200,17401
87,35.439636,200,17601
88,39.259053,200,17801
89,40.909985,200,18001
90,42.253339,200,18201
91,29.529099,200,18401
92,41.587135,200,18601
93,30.887163,200,18801
94,35.102727,200,19001
95,51.144276,200,19201
96,52.195121,200,19401
97,41.08018,200,19601
98,31.790109,200,19801
99,39.258362,200,20001
100,36.616462,200,20201
101,44.222401,200,20401
102,30.259152,200,20601
103,40.531552,200,20801
104,36.528946,200,21001
105,45.035817,200,21201
106,39.673446,200,21401
107,29.841066,200,21601
108,46.885473,200,21801
109,48.24556,200,22001
110,42.167622,200,22201
111,37.593681,200,22401
112,32.355684,200,22601
113,33.805312,200,22801
114,34.932299,200,23001
115,42.099442,200,23201
116,32.787871,200,23401
117,35.212757,200,23601
118,40.982821,200,23801
119,43.278685,200,24001
120,32.500011,200,24201
121,35.441374,200,24401
122,34.303672,200,24601
123,26.502824,200,24801
124,44.849553,200,25001
125,35.107915,200,25201
126,43.663873,200,25401
127,44.998894,200,25601
128,45.590488,200,25801
129,39.764317,200,26001
130,40.125466,200,26201
131,38.698674,200,26401
132,38.922704,200,26601
133,37.560142,200,26801
134,38.01543,200,27001
135,34.521832,200,27201
136,39.833758,200,27401
137,44.928371,200,27601
138,33.92601,200,27801
139,37.639683,200,28001
140,42.266469,200,28201
141,42.034547,200,28401
142,45.505364,200,28601
143,46.787865,200,28801
144,27.922172,200,29001
145,42.835354,200,29201
146,46.064227,200,29401
147,45.75242,200,29601
148,33.285193,200,29801
149,42.930135,200,30001
150,39.473241,200,30201
151,37.362122,200,30401
152,46.54133,200,30601
153,42.589776,200,30801
154,38.125956,200,31001
155,35.582173,200,31201
156,36.657999,200,31401
157,29.904077,200,31601
158,44.560753,200,31801
159,33.843231,200,32001
160,25.36133,200,32201
161,35.888932,200,32401
162,34.930768,200,32601
163,42.029025,200,32801
164,44.156222,200,33001
165,32.608765,200,33201
166,48.849556,200,33401
167,37.803931,200,33601
168,48.352448,200,33801
169,33.083541,200,34001
170,41.834577,200,34201
171,41.741837,200,34401
172,39.277936,200,34601
173,42.837768,200,34801
174,42.114933,200,35001
175,49.036246,200,35201
176,36.161963,200,35401
177,33.742243,200,35601
178,40.912684,200,35801
179,45.552891,200,36001
180,40.907321,200,36201
181,40.478996,200,36401
182,46.555557,200,36601
183,45.401695,200,36801
184,33.824253,200,37001
185,39.431708,200,37201
186,29.150862,200,37401
187,45.404618,200,37601
188,36.824991,200,37801
189,36.023639,200,38001
190,42.677915,200,38201
191,44.370793,200,38401
192,46.333713,200,38601
193,46.29736,200,38801
194,45.962412,200,39001
195,40.307867,200,39201
196,47.385372,200,39401
197,38.635442,200,39601
198,34.06303,200,39801
199,26.456038,200,40001
200,42.858151,200,40201
201,45.976046,200,40401
202,37.278603,200,40601
203,48.897634,200,40801
204,43.439578,200,41001
205,40.107905,200,41201
206,34.888882,200,41401
207,41.550344,200,41601
208,28.306593,200,41801
209,38.050486,200,42001
210,40.588994,200,42201
211,37.633104,200,42401
212,36.825189,200,42601
213,40.380617,200,42801
214,41.663898,200,43001
215,40.721417,200,43201
216,43.135786,200,43401
217,21.986564,200,43601
218,32.957499,200,43801
219,37.616239,200,44001
220,34.180308,200,44201
221,34.342526,200,44401
222,47.01451,200,44601
223,35.372091,200,44801
224,46.419646,200,45001
225,41.700684,200,45201
226,37.833991,200,45401
227,37.654059,200,45601
228,42.984004,200,45801
229,40.004012,200,46001
230,35.429651,200,46201
231,28.039164,200,46401
232,35.187702,200,46601
233,38.536987,200,46801
234,34.682629,200,47001
235,33.752295,200,47201
236,41.189641,200,47401
237,41.51203,200,47601
238,37.376326,200,47801
239,42.907382,200,48001
240,47.174553,200,48201
241,38.218338,200,48401
242,46.755971,200,48601
243,39.605968,200,48801
244,46.332258,200,49001
245,33.913882,200,49201
246,46.746072,200,49401
247,44.031684,200,49601
248,41.588267,200,49801
249,45.763942,200,50001
250,41.410133,200,50201
251,42.75125,200,50401
252,24.237322,200,50601
253,23.946748,200,50801
254,47.72151,200,51001
255,31.658028,200,51201
256,39.444378,200,51401
257,47.187605,200,51601
258,38.257472,200,51801
259,41.864483,200,52001
260,36.707276,200,52201
261,42.162243,200,52401
262,44.570675,200,52601
263,46.170708,200,52801
264,50.337458,200,53001
265,43.043979,200,53201
266,35.276713,200,53401
267,31.309412,200,53601
268,47.126493,200,53801
269,40.247346,200,54001
270,46.061081,200,54201
271,40.118729,200,54401
272,33.485393,200,54601
273,49.069693,200,54801
274,41.092579,200,55001
275,40.640962,200,55201
276,41.825831,200,55401
277,40.595937,200,55601
278,47.001709,200,55801
279,47.033919,200,56001
280,34.754013,200,56201
281,41.538035,200,56401
282,38.27076,200,56601
283,37.299988,200,56801
284,42.237714,200,57001
285,34.773486,200,57201
286,40.360417,200,57401
287,40.000601,200,57601
288,40.817097,200,57801
289,28.956944,200,58001
290,39.269016,200,58201
291,40.930265,200,58401
292,33.546091,200,58601
293,34.931353,200,58801
294,34.881395,200,59001
295,37.984069,200,59201
296,40.466736,200,59401
297,48.980202,200,59601
298,23.392744,200,59801
299,31.347046,200,60001
